獨房	13
取り戻す	13
甚兵	13
向ける	13
冬	13
精神	13
新聞	13
關係	13
迫る	13
感動	13
演説	13
敗ける	13
思想	13
收	13
抱く	13
やく	13
きまつ	13
涙	13
尻	13
注意	13
呑む	13
変る	13
裁判	13
吹く	13
障子	13
ひつ	13
きつい	13
おどろく	13
父	13
新入	13
國	12
當然	12
青い	12
市	12
汗	12
遲	12
ちつ	12
川	12
め	12
ゆ	12
肌	12
ゆる	12
よい	12
雀	12
寂しい	12
ちょうど	12
さげすむ	12
無	12
頬	12
隅	12
着く	12
何もの	12
責任	12
おくれる	12
かげ	12
想像	12
激しい	12
明るい	12
全然	12
時代	12
貧農	12
診る	12
同居	12
苦しい	12
おちつく	12
隔離	12
感	12
溢れる	12
光り	12
失う	12
きまる	12
息子	12
隣る	12
しだいに	12
焦る	12
働く	12
本部	12
眺める	12
犯罪	12
食ひ	12
増す	12
封筒	12
洗面	12
一言	12
冷たい	12
刺戟	12
ツ	11
互	11
立場	11
のぞむ	11
樂	11
燒	11
くり	11
みる	11
布	11
漸く	11
無言	11
母子	11
藤澤	11
齒	11
何事	11
賣る	11
峠	11
腫れる	11
雜居	11
寄	11
土間	11
現実	11
心配	11
喜び	11
どうして	11
ほんとうに	11
おす	11
なかなか	11
独房	11
合ひ	11
稻	11
形	11
笑う	11
書物	11
食る	11
はし	11
意志	11
委員	11
教誨	11
美佐子	11
巡る	11
雑居	11
つづく	11
過す	11
のぞく	11
き	11
動	11
安心	11
ふえる	11
あわてる	11
とう	10
ちらりと	10
野郎	10
而して	10
近く	10
囘	10
頼む	10
一種	10
弱い	10
開ける	10
信じる	10
短い	10
歴史	10
事務	10
手足	10
東京	10
惱	10
しく	10
源	10
答える	10
氣味	10
うに	10
一隅	10
慣れる	10
擔當	10
運ぶ	10
いよいよ	10
苦しむ	10
ばば	10
起る	10
草履	10
苦しみ	10
從	10
思い出す	10
確信	10
あがる	10
正面	10
使	10
あら	10
兩手	10
とら	10
衆	10
街	10
武夫	10
蟲	10
田圃	10
動き	10
ひく	10
度	10
床	10
解決	10
ようやく	10
別れる	10
作る	10
一緒	10
中村	10
出	10
一廓	10
尋ねる	10
共産	10
闇	9
疊	9
自覚	9
喜ぶ	9
込む	9
見出す	9
動物	9
しきりに	9
根	9
ゑ	9
控訴	9
豫想	9
たんや	9
考え	9
起す	9
ぶる	9
説明	9
くつ	9
父親	9
